model,sample_idx,d_n_nocot,d_n_cot,hcds_q,n_features_used_n_nocot,n_features_used_n_cot
instruct,0,6.587603457962967,0.7551757518077239,5.832427706155243,4,5
instruct,1,2.1524451141721594,0.8162606074978659,1.3361845066742934,4,5
instruct,2,1.8045275283962101,1.4754141749530314,0.3291133534431787,4,5
instruct,3,2.010868374264767,0.04208332997662733,1.9687850442881398,4,5
instruct,4,2.3309676665758676,0.17823757781749477,2.1527300887583727,4,5
instruct,5,4.647836761547377,0.26052058938265216,4.3873161721647245,4,5
instruct,6,2.9390467325796092,0.13354365094246415,2.805503081637145,5,5
instruct,7,2.612527332539229,0.20040830215152108,2.412119030387708,4,5
instruct,8,3.541308300563025,2.9397540480975084,0.6015542524655166,4,5
instruct,9,1.6679672497211493,0.36320017033235347,1.3047670793887958,4,5
instruct,10,1.5732798492490199,0.16457147153158028,1.4087083777174396,4,5
instruct,11,6.850181630018223,1.469872589576158,5.380309040442064,4,5
instruct,12,5.727174181949749,1.47250698373687,4.254667198212879,4,5
instruct,13,6.093809397748693,2.9313248526922147,3.1624845450564782,4,5
instruct,14,2.0969480037247648,0.0928585585058273,2.0040894452189373,4,5
instruct,15,3.7446667050855957,1.6673630075693877,2.077303697516208,4,5
instruct,16,2.2485610965492935,0.8210733002774604,1.427487796271833,4,5
instruct,17,2.493894260573088,0.051280176862333195,2.442614083710755,4,5
instruct,18,4.110916856299986,1.0391772919768412,3.0717395643231447,4,5
instruct,19,2.666665383547228,0.14316203884288756,2.5235033447043405,4,5
instruct,20,4.905640573504658,0.20495039423995148,4.700690179264707,4,5
instruct,21,2.279916685917716,0.15408194420673177,2.1258347417109844,4,5
instruct,22,4.928065972631719,1.48017087255706,3.4478951000746596,4,5
instruct,23,2.296430661886537,0.11931198211984424,2.177118679766693,4,5
instruct,24,1.7474376758245445,1.4709561575268189,0.2764815182977256,4,5
instruct,25,2.4550720822450947,4.3476848166031585,-1.8926127343580639,4,5
instruct,26,2.733040944352431,0.03388630583517087,2.69915463851726,4,5
instruct,27,1.9350709426266772,0.2893690486279087,1.6457018939987687,4,5
instruct,28,1.8742966849812672,1.5674502096201537,0.30684647536111354,4,5
instruct,29,6.012779756812451,1.5080034589515605,4.50477629786089,5,5
instruct,30,1.9176629359760464,0.12770285293884037,1.789960083037206,4,5
instruct,31,3.032631562224662,0.11892210252087988,2.913709459703782,4,5
instruct,32,1.6805086481570892,0.13037586538911475,1.5501327827679745,4,5
instruct,33,4.54485781353378,4.0996751626501045,0.4451826508836758,4,5
instruct,34,7.45603056429481,0.08652936830281939,7.369501195991991,4,5
instruct,35,1.795887814475593,2.934902986418196,-1.1390151719426032,4,5
instruct,36,4.419869040827219,4.0842910622582576,0.33557797856896165,4,5
instruct,37,3.2441790302099838,1.4657641005285234,1.7784149296814604,4,5
instruct,38,3.545520538015518,1.479017777432545,2.0665027605829733,4,5
instruct,39,0.09277336996215922,3.034669025826071,-2.9418956558639118,5,5
instruct,40,3.6343266576754663,5.130615944691069,-1.4962892870156028,4,5
instruct,41,2.8177467627144432,0.2500330613065191,2.567713701407924,4,5
instruct,42,2.668870995547049,0.4358994076550817,2.232971587891967,4,5
instruct,43,2.997110348444171,1.4667806067562763,1.5303297416878947,4,5
instruct,44,1.9774783974897292,0.2790322495980796,1.6984461478916497,4,5
instruct,45,4.15057355109046,2.9585974798688937,1.1919760712215663,5,5
instruct,46,2.7287867458361275,0.07240287295362563,2.6563838728825018,4,5
instruct,47,1.765551645224022,0.04244533334529509,1.723106311878727,4,5
instruct,48,2.0156000014182824,0.48868356753445186,1.5269164338838306,4,5
instruct,49,2.5424748382855418,0.24017873170255322,2.3022961065829888,4,5
thinking,0,2.1798597605077386,1.9162437509953993,0.2636160095123392,5,5
thinking,1,4.453508070204789,4.2991849748594255,0.15432309534536337,5,5
thinking,2,1.4200542470141833,1.2037420308652436,0.2163122161489397,5,5
thinking,3,3.638111262893193,2.2471998248256373,1.3909114380675556,5,5
thinking,4,2.3648042827971496,2.4976145732978,-0.1328102905006503,5,5
thinking,5,3.51746656833203,2.6161394627140746,0.9013271056179555,5,5
thinking,6,2.4794845523283144,1.2301207513515535,1.249363800976761,5,5
thinking,7,1.019102256621364,2.339218429328069,-1.3201161727067048,5,5
thinking,8,2.33416719101769,1.4647627497100344,0.8694044413076556,5,5
thinking,9,1.7274745649028256,1.673100774201438,0.05437379070138748,5,5
thinking,10,2.8624492846393506,1.2460896001432633,1.6163596844960872,5,5
thinking,11,3.8800939486921866,2.4081227843049833,1.4719711643872033,5,5
thinking,12,0.6937149216933984,1.4016208799755558,-0.7079059582821574,5,5
thinking,13,0.5328157133541491,1.021265951352309,-0.4884502379981599,5,5
thinking,14,1.9798430974553485,1.5761408142278204,0.4037022832275281,5,5
thinking,15,1.5087668148851068,3.6036494892250186,-2.094882674339912,5,5
thinking,16,3.137316722543158,2.9507944616804753,0.18652226086268264,5,5
thinking,17,1.4479347530061446,0.8210970696559211,0.6268376833502235,5,5
thinking,18,3.9470541559112946,1.3242218910842232,2.622832264827071,5,5
